name	long_name	alias	rule	group
Alpha-galactans Oligo Cleavage	Alpha-galactans Oligo Cleavage		GH27 | GH110 | GH4 | GH31 | GH36 | GH97	CAZy
Beta-galactan (pectic galactan) Backbone Cleavage	Beta-galactan (pectic galactan) Backbone Cleavage		GH53	CAZy
Beta-galactan (pectic galactan) Oligo Cleavage	Beta-galactan (pectic galactan) Oligo Cleavage		GH2 | GH35 | GH42 | GH1 | GH59 | GH147 | GH165	CAZy
Mixed-Linkage glucans Backbone Cleavage	Mixed-Linkage glucans Backbone Cleavage (Hemicellulose)		GH16 | GH30 | GH17 | GH7 | GH8 | GH9 | GH5 | GH55 | GH64 | GH81 | GH128 | GH152 | GH157 | GH158	CAZy
Mixed-Linkage glucans Oligo Cleavage	Mixed-Linkage glucans Oligo Cleavage (Hemicellulose)		GH3 | GH16 | GH17 | GH55 | GH1	CAZy
Xylans Backbone Cleavage	Xylan Backbone Cleavage (Hemicellulose)		GH10 | GH26 | GH8 | GH5 | GH11 | GH30 | GH98 | GH141	CAZy
Xylans Oligo Cleavage	Xylan Oligo Cleavage (Hemicellulose)		GH39 | GH3 | GH31 | GH52 | GH120 | GH115 | GH67	CAZy
Beta-mannan Backbone Cleavage	Beta-mannan Backbone Cleavage (Hemicellulose)		GH113 | GH134 | GH26 | GH5	CAZy
Beta-mannan Oligo Cleavage	Beta-mannan Oligo Cleavage (Hemicellulose)		"GH26,GH130 | GH113 | CE2 | CE17 | GH2"	CAZy
Alpha-mannan Backbone Cleavage	Alpha-mannan Backbone Cleavage (Hemicellulose)		GH99 | GH76	CAZy
Alpha-mannan Oligo Cleavage	Alpha-mannan Oligo Cleavage (Hemicellulose)		GH76 | GH92 | GH38 | GH63 | GH47 | GH125 | GH130	CAZy
Arabinan Backbone Cleavage	Arabinan Backbone Cleavage		GH43 | GH49	CAZy
Arabinan Oligo Cleavage	Arabinan Oligo Cleavage		GH93 | GH43 | GH51 | GH3 | GH54 | GH62	CAZy
Rhamnose cleavage	Rhamnose Oligo cleavage		GH78 | GH106 | GH145 | PL24 | PL25 | PL27 | PL28 | GH28	CAZy
Fucose Cleavage	Fucose Oligo Cleavage		GH107 | GH139 | GH141 | GH151 | GH29 | GH95	CAZy
Arabinose cleavage	Arabinose Oligo cleavage		GH121 | GH127 | GH137 | GH142 | GH146 | GH54 | GH62 | GH2	CAZy
pyruvate => acetyl CoA v1	pyruvate dehydrogenase E1 component [EC:1.2.4.1]		K00163	SCFA/alcohol conversions
pyruvate => acetyl CoA v2	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3, 1.2.7.11]"		K00174	SCFA/alcohol conversions
pyruvate => acetylCoA f+ formate v3	formate C-acetyltransferase [EC:2.3.1.54]		K00656	SCFA/alcohol conversions
"acetate, pt 1"	"phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230], acetate kinase [EC:2.7.2.1] [RN:R00315]"		"K00625,K00925"	SCFA/alcohol conversions
"acetate, pt 2"	acetate---CoA ligase (ADP-forming) subunit alpha		K01905	SCFA/alcohol conversions
"acetate, pt 3"	acetyl-CoA hydrolase [EC:3.1.2.1]		K01067	SCFA/alcohol conversions
lactate L	L-lactate dehydrogenase [EC:1.1.1.27]; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]		K00016 | K00101	SCFA/alcohol conversions
lactate D	"D-lactate dehydrogenase [EC:1.1.1.28]; D-lactate dehydrogenase (quinone) [EC:1.1.5.12], D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4], D-lactate dehydrogenase (cytochrome c-553)"		K03778 | K03777	SCFA/alcohol conversions
"Butyrate, pt 1"	phosphate butyryltransferase [EC:2.3.1.19]		K00634	SCFA/alcohol conversions
"Butyrate, pt 2"	"butyrate kinase [EC:2.7.2.7], medium-chain acyl-CoA synthetase [EC:6.2.1.2]"		K00929 | K01896	SCFA/alcohol conversions
"Propionate, pt 1"	propionate kinase [EC:2.7.2.15]		K19697	SCFA/alcohol conversions
"Propionate, pt 2"	propionate CoA-transferase [EC:2.8.3.1]		K01026	SCFA/alcohol conversions
Alcohol production 	alcohol dehydrogenase [EC:1.1.1.1]		K00001 | K00121 | K04072 | K13951 | K13952 | K13953 | K13954 | K13980 | K18857	SCFA/alcohol conversions
